day,load_before,load_after,shift_out,shift_in,charge,discharge,curtail,soc,excess,overload_mass,violation_activation,stress_slack
2020-08-29,112355.80743078107,108919.77988934485,10497.25521081029,7061.228062322352,0.0004972995988387337,0.0008902478872278238,0.0,0.00019425084925068316,2859.122024406556,2.304644079923468e-05,9.635773054393218e-09,0.0
2020-08-30,105652.22264620941,108919.77982288401,7145.715963473859,10413.273171876332,0.0006754836705315871,0.0007072115318224687,0.0,6.372663403325239e-05,2859.1219570820176,2.304679828431326e-05,9.635850630191978e-09,0.0
2020-08-31,107686.97801563062,108919.77983956052,8163.016922308932,9395.818678984291,0.0007230084760146466,0.0006557539243210557,0.0,3.262264078390615e-05,2859.1219730077987,2.3046819267810286e-05,9.635829989767994e-09,0.0
2020-09-01,103035.22223297649,108913.78788120528,4424.956586524654,10303.522176326771,0.0006890622822018233,0.000630635606038951,0.0,-4.250019685530974e-06,2853.1299871172446,2.305211530655278e-05,9.637536446498834e-09,0.0
2020-09-02,106044.13865888686,108919.7798260027,7341.659240736739,10217.300328758683,0.0007293276805186754,0.0006502337928251708,0.0,-2.3529683309735872e-05,2859.121959419251,2.304652583927789e-05,9.635827916137912e-09,0.0
2020-09-03,105921.16664851028,108919.77982665096,7280.177840597283,10278.791008941898,0.0006955871153206752,0.0006857910476298748,0.0,-0.00011236259839059862,2859.1219600337154,2.3046708572207818e-05,9.635834342765538e-09,0.0
2020-09-04,109344.34024757615,108919.77986966814,8991.635343059588,8567.075201701968,0.0005743991075335462,0.0008109494914103367,0.0,-0.00044832373284754435,2859.122004083872,2.30461802886792e-05,9.635696756165524e-09,0.0
2020-09-05,98776.56814184831,108784.29037904624,6.980635818140889e-05,9877.656816021537,130.0668235316461,0.0013325488954582553,0.0,123.56160239658611,2723.6323048445715,2.3073245119144584e-05,9.644064253663575e-09,0.0
2020-09-06,100757.73138149905,108908.00018485788,1925.5034025828363,10075.77312416553,0.0002147959053985492,0.0011330197552056325,0.0,123.56058504926234,2847.342360495228,2.3045532420466232e-05,9.63547463927153e-09,0.0
2020-09-07,109949.26717252718,108919.77988511091,9293.911253213855,8264.424734805592,0.0003140683371098726,0.0010830763495881222,0.0,123.55971473278902,2859.1220385517777,2.3045300067711307e-05,9.635374435399769e-09,0.0
2020-09-08,105058.42439120135,108918.9294506212,6645.336720263337,10505.8424396745,0.00034147718807746487,0.0010014684940351187,0.0,123.55895645255231,2858.271616590438,2.3049738873447817e-05,9.636750605268378e-09,0.0
2020-09-09,108960.90265321269,108919.77981510703,8799.922059802457,8758.799903686257,0.0003570501607938875,0.001039039622004365,0.0,123.55817346883711,2859.12192404899,2.3048974213801536e-05,9.636562927000722e-09,0.0
2020-09-10,111259.9459328036,108919.77981996085,9949.355340966096,7609.189837293383,0.00039176334336443107,0.001000933372992784,0.0,123.55746365365361,2859.1219325442794,2.3048627848650738e-05,9.636505890395517e-09,0.0
2020-09-11,108671.2175417335,108919.77979212797,8655.091773030947,8903.654500044813,0.0004578200745479896,0.0009344394653428135,0.0,123.55688669357058,2859.1219282540455,2.3047526769375347e-05,9.636062794616983e-09,0.0
2020-09-12,101856.37848689016,108910.79195707568,3131.2239323786725,10185.637814419037,0.00046072566618495105,0.0008725805140755096,0.0,123.55637770838615,2850.1340723161375,2.305363411063179e-05,9.63801102025469e-09,0.0
2020-09-13,101912.63021810762,108910.93494650032,3192.958006885369,10191.263003707041,0.0005313660674146935,0.0007997950294341723,0.0,123.55601256330466,2850.2770928458426,2.3051423262822608e-05,9.637246532048171e-09,0.0
2020-09-14,112462.05592649778,108919.77986159858,10550.368327163322,7008.092450282187,0.0005967668765236516,0.0007847849359612384,0.0,123.55572545478512,2859.1219782339654,2.3048101524720583e-05,9.63630424352256e-09,0.0
2020-09-15,116802.85803082059,108919.77993021102,12720.603185037864,4837.52516201042,0.0006491881455986564,0.0007267702739498441,0.0,123.55554932842483,2859.1220548220103,2.3047044313952096e-05,9.635938099893866e-09,0.0
2020-09-16,112916.86993753443,108919.77993017319,10777.755448655585,6780.665397659416,0.0007098310440701042,0.0006661961149752415,0.0,123.55549468195468,2859.1220702507753,2.3045507969392685e-05,9.635435663344297e-09,0.0
2020-09-17,112635.47801400893,108919.77994224707,10635.7497640761,6920.051580156557,0.0007324313205863171,0.0006202736432874055,0.0,123.5555099207466,2859.1220916084026,2.304453647288452e-05,9.635164858946946e-09,0.0
2020-09-18,103337.55325980808,108914.55635922062,4756.752322906971,10333.755290878864,0.0007249996085676632,0.000593558956773908,0.0,123.55554626367945,2853.898520928935,2.3043806643932865e-05,9.634964696421281e-09,0.0
2020-09-19,94247.76378193697,108774.31091750435,0.0006782341859356127,9424.775768859226,5101.773295802648,0.0012508603133505687,0.0,4970.238832980966,2713.652269862672,2.306547400159448e-05,9.64167396640166e-09,0.0
2020-09-20,93980.13233776839,108773.69028834574,0.0008043184037049676,9398.012498087419,5395.547502615392,0.0012458070568854322,0.0,10096.007621745932,2713.0315483567374,2.3060254986804528e-05,9.64006093704646e-09,0.0
2020-09-21,104967.73679493324,108918.74351877175,4161.67319840104,10496.773789117082,0.0012166614499048683,2384.095083538976,0.0,7586.434978570055,2858.0858021944628,2.3050004702981658e-05,9.636819946177317e-09,0.0
2020-09-22,105621.82816538238,108919.78906545408,4335.375912215988,10419.374770164703,0.0012028663522335237,2786.0391607433758,0.0,4653.763293898604,2859.131265185428,2.3048945974956507e-05,9.636579675264286e-09,0.0
2020-09-23,103807.35544008114,108915.7665877499,851.2622129172371,10380.735603263358,0.0013551544902377312,4421.06359783185,0.0,0.013399205558703596,2855.1088111157774,2.305031002302218e-05,9.636938090240585e-09,0.0
2020-09-24,95074.20882060414,105380.44094720697,0.014174036591337869,9507.406720388626,8193.35762193405,7394.518041683249,0.0,-6.0826577241803934e-05,0.0,2.30413976478976e-05,9.634446262602976e-09,0.0
2020-09-25,83599.0000239253,92757.72399405245,0.01413563497706531,8359.88588007446,8193.357591667582,7394.50536597992,0.0,-0.00020689846092631552,0.0,2.3058449930601682e-05,9.639893339915425e-09,0.0
2020-09-26,74760.53744546697,88814.4943767714,0.013694972860625624,7476.040061350349,8193.357822587415,1428.5280731417631,186.89918451871378,6279.975963662576,0.0,2.3081038114189544e-05,9.646662759990796e-09,0.0
2020-09-27,69693.14332451722,84681.55874340351,0.013315351678162009,6969.301026981571,8193.358225305174,0.0,174.23051804876835,14063.666730009287,0.0,2.3029751469296324e-05,9.63058400875904e-09,0.0
2020-09-28,88324.92136696982,90621.49629044325,0.013719726350077273,8832.478428908707,1657.4679415197934,8193.357727228726,0.0,7013.6741935146165,0.0,2.303680280185436e-05,9.633131396322304e-09,0.0
2020-09-29,83740.54441938784,90611.78788668418,0.013806992697240388,8374.04064563928,6690.5743814411435,8193.357752791393,0.0,4745.132748144356,0.0,2.304210054198235e-05,9.634891076915272e-09,0.0
2020-09-30,82619.257338748,90609.41304297725,0.013921179285183547,8261.911820812442,7921.615572296355,8193.357767700258,0.0,3646.0804185708134,0.0,2.3066201644647065e-05,9.642757869327607e-09,0.0
2021-06-01,78180.2295775902,88823.18267004249,0.014188329267031135,7818.008788508499,8193.35762271881,5368.399130445749,0.0,5778.823707939776,0.0,2.3117337336349232e-05,9.659477354643724e-09,0.0
2021-06-02,61978.941178501525,76215.22341645816,0.01297980223919574,6197.881148467162,8193.358946000748,0.0,154.94487670903771,13562.515921407074,0.0,2.2870982457844648e-05,9.578919920686141e-09,0.0
2021-06-03,77581.6913391636,88821.66036175928,0.014814794785770325,7758.154352459461,8193.356906513753,4711.52742158275,0.0,16386.702434336235,0.0001399167559884796,2.330315795823932e-05,9.720136062653597e-09,0.0
2021-06-04,109268.45791951835,108919.80547581111,3381.345372989546,8582.444297183718,0.0013689256310369957,5549.752736827043,0.0,10544.858722307856,2859.147447380978,2.307489366473254e-05,9.645245373272931e-09,0.0
2021-06-05,96603.98621069318,108779.2837436547,0.0006329904640202286,9660.39807587693,2514.901023619714,0.0009335446773567037,0.0,12934.013684922758,2718.6259804278266,2.2984851794984494e-05,9.615277283860634e-09,0.0
2021-06-06,95584.29807162343,108777.15037279444,0.0007973505662026364,9558.429093676239,3634.4254247571657,0.001419911834726512,0.0,16386.716316094855,2716.4920758069966,2.302525677994852e-05,9.628560388495825e-09,0.0
2021-06-07,105130.6959238693,108919.11308453477,6724.6497248234555,10513.06812969879,0.0,0.001244209862719127,0.0,16386.714951712638,2858.452300995849,2.322411030623141e-05,9.69377194540153e-09,0.0
2021-06-08,111997.39986875014,108919.77991990655,10318.065441964705,7240.44490511337,0.0009811877332933567,0.00039317999629073644,0.0,16386.715442533812,2859.122342223257,2.3030064123192428e-05,9.630387844889701e-09,0.0
2021-06-09,115841.01989131096,108919.77991089132,12239.730239113773,5318.490073475606,0.0007787436212380962,0.0005935250931491594,0.0,16386.71552996673,2859.1220903001895,2.304486661087483e-05,9.635218793060901e-09,0.0
2021-06-10,115624.82493343602,108919.77990106035,12131.640887030992,5426.595738576885,0.0007444244160900971,0.000628345960319789,0.0,16386.71554810759,2859.1220484857777,2.3047245830492225e-05,9.635974054186131e-09,0.0
2021-06-11,110281.45995654477,108919.7798574847,9460.160017430053,8098.479808685969,0.0007429812249552147,0.0006332972115363619,0.0,16386.715559658445,2859.1219992028323,2.3044693846658942e-05,9.635248851200031e-09,0.0
2021-06-12,99298.78485198675,108904.29243023136,324.3709589460586,9929.878447943647,0.0007046100743216992,0.000615363055200837,0.0,16386.71555364647,2843.6345525431475,2.3046703879683854e-05,9.635952230130961e-09,0.0
2021-06-13,102179.58733696394,108911.61345091509,3485.932662703749,10217.958691987656,0.0007021078220179841,0.0006174405924211029,0.0,16386.71554307369,2850.955568770285,2.304422379088537e-05,9.635112976398355e-09,0.0
2021-06-14,108740.87204174799,108919.77984752685,8689.92418986168,8868.831889290232,0.0007417022896391879,0.000635351979827139,0.0,16386.71555124661,2859.121980736201,2.303673661604725e-05,9.632827372291563e-09,0.0
2021-06-15,106206.95757617847,108919.77982503586,7423.062570248418,10135.88471264897,0.0007425699422692967,0.0006361131007554216,0.0,16386.715559441916,2859.1219570887206,2.3034372401450494e-05,9.632050464241319e-09,0.0
2021-06-16,117614.50624552672,108919.77992346665,13126.406456247116,4431.6800277457905,0.0007386529312061841,0.0006322116827588667,0.0,16386.71556803773,2859.1220519219723,2.3031538112609255e-05,9.631214958408124e-09,0.0
2021-06-17,123176.47986511039,108924.56727991615,14781.177645120806,529.2649951006704,0.0007495112795447601,0.0006846853993628284,0.0,16386.715531743797,2863.9093055438047,2.303425641164188e-05,9.63206311996406e-09,0.0
2021-06-18,110900.20852058579,108919.77986606062,9769.510952420458,7789.082189494231,0.0007419271443341599,0.0006335260887346958,0.0,16386.715542058828,2859.1219973836824,2.3026487621317388e-05,9.629617426776703e-09,0.0
2021-06-19,109096.09480935069,108919.77984838485,8867.522164942537,8691.20711181172,0.0007346450380383054,0.0006424800712622793,0.0,16386.715536011903,2859.1219808619358,2.302375831597996e-05,9.628835042539588e-09,0.0
2021-06-20,105392.64688324547,108919.77977363508,7010.783243010847,10537.916068523697,0.0006806421384939374,0.0006157653905573527,0.0,16386.715506750726,2859.1219511550958,2.3021137411400958e-05,9.628059010259661e-09,0.0
2021-06-21,118005.07653233364,108919.77992649625,13321.67678861168,4236.380220406849,0.0006683690483192206,0.0007060016037090522,0.0,16386.7153707516,2859.1220561850923,2.30186479005391e-05,9.627228397697562e-09,0.0
2021-06-22,120866.23868702118,108920.84894384578,14503.948692779259,2558.559392956984,0.0005024418033098454,0.0009457949398763879,0.0,16386.714824334213,2860.190980711879,2.3021049337394195e-05,9.628059740991343e-09,0.0
2021-06-23,131887.97197870692,109099.68133680981,15826.554942082621,0.0016372643358206417,0.0014291197368891304,6961.738766198573,0.0,9058.570082664712,3039.025077720622,2.3029165157806054e-05,9.630507944191501e-09,0.0
2021-06-24,137326.09286405527,111970.64098331479,16478.39354404446,0.7376059666537605,0.7374013486129136,8192.65867309964,685.8746709116483,435.41934946934884,5909.964645800284,1070.2732928421442,0.005142802813630833,0.0
